player_id,source_player_id,player_name,normalized_player_name,team_id,role,valid_from,valid_to,source_id,source_record_locator,identity_method,identity_confidence,quality_flags,provenance
oe:player:6841f2d68619d53bdd1cdbf30b5be2c,oe:player:6841f2d68619d53bdd1cdbf30b5be2c,Zeyzal,zeyzal,oe:team:b360f1d729b0a8e0f29a5243c4200fa,SUP,2024-01-20T22:30:21Z,2026-07-26T23:12:26Z,src_oracles_elixir,data/raw/oracles_elixir/2024_LoL_esports_match_data_from_OraclesElixir.csv#line=88679,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6841f2d68619d53bdd1cdbf30b5be2c,oe:player:6841f2d68619d53bdd1cdbf30b5be2c,Zeyzal,zeyzal,oe:team:f7f7324c151aa6ed770b244ce08e027,SUP,2020-01-26T19:20:42Z,2020-08-22T21:43:41Z,src_oracles_elixir,data/raw/oracles_elixir/2020_LoL_esports_match_data_from_OraclesElixir.csv#line=3942,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6b2acf5555e281f3e64f9a338da6a66,oe:player:6b2acf5555e281f3e64f9a338da6a66,destiny,destiny,oe:team:c334c629fea759876e9e04afbe4aee7,SUP,2021-02-05T23:49:34Z,2022-03-27T21:59:54Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36119,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6b2acf5555e281f3e64f9a338da6a66,oe:player:6b2acf5555e281f3e64f9a338da6a66,destiny,destiny,oe:team:fc8e90107dabb9a35c490b0d86adea0,SUP,2022-06-17T21:46:00Z,2022-06-19T21:19:13Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=81054,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6c7c8b16d921fbf3394e228f1554ef5,oe:player:6c7c8b16d921fbf3394e228f1554ef5,Chime,chime,oe:team:87ee02298073abc2d55060f097d4041,SUP,2021-06-05T00:30:13Z,2022-01-23T21:13:50Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=94031,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6c7c8b16d921fbf3394e228f1554ef5,oe:player:6c7c8b16d921fbf3394e228f1554ef5,Chime,chime,oe:team:a22510a4756fa424cb0771b13261139,SUP,2022-07-16T22:38:00Z,2023-08-04T01:14:20Z,src_oracles_elixir,data/raw/oracles_elixir/2022_LoL_esports_match_data_from_OraclesElixir.csv#line=122747,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6d80c6c8181e4e3c34d58e53dacf52f,oe:player:6d80c6c8181e4e3c34d58e53dacf52f,Ruby,ruby,oe:team:a22510a4756fa424cb0771b13261139,MID,2023-06-28T21:06:50Z,2023-06-30T23:47:42Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=85293,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6dd6c65f233361c424b431921d60ff6,oe:player:6dd6c65f233361c424b431921d60ff6,Revenge,revenge,oe:team:c334c629fea759876e9e04afbe4aee7,TOP,2021-01-16T20:33:46Z,2023-03-18T01:18:42Z,src_oracles_elixir,data/raw/oracles_elixir/2021_LoL_esports_match_data_from_OraclesElixir.csv#line=36115,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6dd6c65f233361c424b431921d60ff6,oe:player:6dd6c65f233361c424b431921d60ff6,Revenge,revenge,oe:team:f7f7324c151aa6ed770b244ce08e027,TOP,2023-06-15T00:03:10Z,2023-08-10T23:37:02Z,src_oracles_elixir,data/raw/oracles_elixir/2023_LoL_esports_match_data_from_OraclesElixir.csv#line=72590,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
oe:player:6ebdf3a3b56c113137109c45c2abc8f,oe:player:6ebdf3a3b56c113137109c45c2abc8f,Tomio,tomio,oe:team:b360f1d729b0a8e0f29a5243c4200fa,JGL,2024-06-16T21:45:22Z,2024-06-28T20:47:05Z,src_oracles_elixir,data/raw/oracles_elixir/2024_LoL_esports_match_data_from_OraclesElixir.csv#line=67196,SOURCE_ID,HIGH,,DIRECT_SOURCE_FACT
