prediction_period,team_id,scheduled_opponents,opponent_count,fixture_ids,validation_status
2025-03-31 00:00:00+00:00,team:cloud9,"[""team:100_thieves"",""team:shopify_rebellion""]",2,"[""fixture:bc56a151e2c748046d2e"",""fixture:cacdac7c893f4ecee20e""]",PASS
2025-03-31 00:00:00+00:00,team:dignitas,"[""team:lyon"",""team:shopify_rebellion""]",2,"[""fixture:74bac0bb6e7b44856884"",""fixture:f6f461c498669a18f874""]",PASS
2025-03-31 00:00:00+00:00,team:disguised,"[""team:flyquest"",""team:lyon""]",2,"[""fixture:1a476e1d1408ace332ce"",""fixture:8e31e9306d9507e3ee22""]",PASS
2025-03-31 00:00:00+00:00,team:flyquest,"[""team:disguised"",""team:team_liquid""]",2,"[""fixture:56e54097293154b4009b"",""fixture:8e31e9306d9507e3ee22""]",PASS
2025-03-31 00:00:00+00:00,team:lyon,"[""team:dignitas"",""team:disguised""]",2,"[""fixture:1a476e1d1408ace332ce"",""fixture:f6f461c498669a18f874""]",PASS
2025-03-31 00:00:00+00:00,team:shopify_rebellion,"[""team:cloud9"",""team:dignitas""]",2,"[""fixture:74bac0bb6e7b44856884"",""fixture:bc56a151e2c748046d2e""]",PASS
2025-03-31 00:00:00+00:00,team:team_liquid,"[""team:100_thieves"",""team:flyquest""]",2,"[""fixture:56e54097293154b4009b"",""fixture:7a45189a80ea884b0749""]",PASS
2025-04-07 00:00:00+00:00,team:100_thieves,"[""team:disguised"",""team:flyquest""]",2,"[""fixture:373c9dd8b791494ccb26"",""fixture:950ed7d33c63935a54c7""]",PASS
2025-04-07 00:00:00+00:00,team:cloud9,"[""team:dignitas"",""team:disguised""]",2,"[""fixture:99025ff11ae2a0076f89"",""fixture:b7553877fd54288f65d7""]",PASS
2025-04-07 00:00:00+00:00,team:dignitas,"[""team:cloud9"",""team:team_liquid""]",2,"[""fixture:4e788fe45101dfc561dd"",""fixture:99025ff11ae2a0076f89""]",PASS
2025-04-07 00:00:00+00:00,team:disguised,"[""team:100_thieves"",""team:cloud9""]",2,"[""fixture:373c9dd8b791494ccb26"",""fixture:b7553877fd54288f65d7""]",PASS
2025-04-07 00:00:00+00:00,team:flyquest,"[""team:100_thieves"",""team:shopify_rebellion""]",2,"[""fixture:78575463867f3a531577"",""fixture:950ed7d33c63935a54c7""]",PASS
2025-04-07 00:00:00+00:00,team:lyon,"[""team:shopify_rebellion"",""team:team_liquid""]",2,"[""fixture:774cf4ea38d48fbab515"",""fixture:78fd60469d06efbcac30""]",PASS
2025-04-07 00:00:00+00:00,team:shopify_rebellion,"[""team:flyquest"",""team:lyon""]",2,"[""fixture:774cf4ea38d48fbab515"",""fixture:78575463867f3a531577""]",PASS
2025-04-07 00:00:00+00:00,team:team_liquid,"[""team:dignitas"",""team:lyon""]",2,"[""fixture:4e788fe45101dfc561dd"",""fixture:78fd60469d06efbcac30""]",PASS
2025-04-14 00:00:00+00:00,team:100_thieves,"[""team:dignitas"",""team:lyon""]",2,"[""fixture:3354006664a46682404c"",""fixture:f090bfd94ea339ff2075""]",PASS
2025-04-14 00:00:00+00:00,team:cloud9,"[""team:flyquest"",""team:team_liquid""]",2,"[""fixture:a16fe5525bf6c1bc35c9"",""fixture:d45d4f0d882670b78d40""]",PASS
2025-04-14 00:00:00+00:00,team:dignitas,"[""team:100_thieves"",""team:disguised""]",2,"[""fixture:5a186b687974fa957f26"",""fixture:f090bfd94ea339ff2075""]",PASS
2025-04-14 00:00:00+00:00,team:disguised,"[""team:dignitas"",""team:shopify_rebellion""]",2,"[""fixture:5a186b687974fa957f26"",""fixture:74fed88495dbe5ff65c8""]",PASS
2025-04-14 00:00:00+00:00,team:flyquest,"[""team:cloud9"",""team:lyon""]",2,"[""fixture:b0c1d70ec053ac45d38b"",""fixture:d45d4f0d882670b78d40""]",PASS
